id,question1,question2,type
0,I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",m
1,How can I be a good geologist?,What should I do to be a great geologist?,s
2,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,s
3,What can make Physics easy to learn?,How can you make physics easy to learn?,s
4,What was your first sexual experience like?,What was your first sexual experience?,s
5,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,m
6,What does manipulation mean?,What does manipulation means?,s
7,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,m
8,Why do rockets look white?,Why are rockets and boosters painted white?,s
9,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,s
10,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,m
11,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,m
12,How do we prepare for UPSC?,How do I prepare for civil service?,s
13,What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,m
14,How do I make friends.,How to make friends ?,s
15,Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,s
16,"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,m
17,What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,m
18,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,l
19,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,m
